SA1_CODE21,Education level,Income level,Adaptive Capability Index
1155507,1156.0,1158.0,0.9024973
1155508,1138.0,1170.0,0.9001663
1155509,1119.0,1110.0,0.86934257
1155510,1121.0,1124.0,0.8755865
1155511,1114.0,1033.0,0.8373394
1155512,1095.0,922.0,0.7866093
1155513,1128.0,1174.0,0.8978304
1155514,1164.0,1190.0,0.9181052
1155515,1127.0,1155.0,0.89002466
1155516,1160.0,1169.0,0.90834963
1155517,1059.0,1131.0,0.8541566
1155518,1083.0,1156.0,0.87326765
1155519,1163.0,1172.0,0.9106897
1155520,1129.0,1146.0,0.8872912
1155521,1107.0,1026.0,0.83187914
1155522,1106.0,1170.0,0.88769555
1155523,1095.0,1180.0,0.8873119
1155524,1127.0,1199.0,0.9071988
1155525,1114.0,1091.0,0.85997796
1155526,1176.0,1151.0,0.9075593
1155527,0.0,0.0,0.0
1155528,1136.0,1160.0,0.8954837
1155529,1161.0,1154.0,0.90288454
1155601,1137.0,1106.0,0.8747961
1155602,1094.0,1090.0,0.8517934
1155603,1149.0,1168.0,0.90367246
1155604,1085.0,1205.0,0.89317274
1155605,1092.0,1042.0,0.8322786
1155606,1136.0,1203.0,0.91226745
1155607,1070.0,1118.0,0.85336924
1155608,1112.0,1076.0,0.8533437
1155609,1138.0,1169.0,0.899776
1155610,1105.0,1184.0,0.8927703
1155611,1140.0,960.0,0.8189785
1155612,1116.0,977.0,0.8162609
1155613,1080.0,1054.0,0.8322859
1155614,1137.0,924.0,0.8037578
1155615,0.0,0.0,0.0
1155616,1153.0,1157.0,0.9009378
1155617,1045.0,1028.0,0.80849767
1155618,1155.0,1149.0,0.8985946
1155619,1157.0,1149.0,0.89937407
1155620,1125.0,1167.0,0.8939291
1155621,1138.0,1146.0,0.89079857
1155701,1128.0,1231.0,0.9200787
1155702,1136.0,1211.0,0.91539
1155703,1140.0,1138.0,0.8884555
1155704,1110.0,1168.0,0.88847375
1155705,1133.0,1133.0,0.8837759
1155706,1133.0,1127.0,0.88143396
1155707,1150.0,1203.0,0.9177234
1155708,1150.0,1206.0,0.91889435
1155709,1075.0,1127.0,0.8588307
1155710,1097.0,1127.0,0.86740434
1155711,1143.0,1172.0,0.90289545
1155712,1125.0,1141.0,0.8837807
1155713,1130.0,1169.0,0.8966583
1155801,1137.0,1152.0,0.8927508
1155802,1128.0,1179.0,0.89978206
1155803,1095.0,1021.0,0.825251
1155804,1136.0,958.0,0.816639
1155805,1134.0,1166.0,0.8970462
