SA1_7DIG16,mean
1105510,997
1105511,1009
1105512,973
1105513,1034
1105514,977
1105601,971
1105602,1007
1105603,945
1105604,926
1105605,991
1105606,986
1105607,1010
1105608,976
1105609,948
1105612,961
1105613,956
1105614,938
1105615,949
1105616,0
1105617,938
1105618,1020
1105620,948
1105621,0
1105622,1002
1105623,972
1105624,899
1105625,918
1105626,928
1105627,938
1105628,977
1105629,973
1105630,965
1105631,1022
1105632,750
1105633,953
1105701,973
1105702,889
1105703,935
1105704,888
1105705,855
1105706,919
1105707,909
1105708,881
1105709,903
1105710,833
1105711,901
1105712,811
1105713,839
1105714,879
1105715,772
1105716,864
1105717,900
1105718,990
1105719,909
1105720,943
1105801,1113
1105802,1058
1105804,961
1105805,990
1105806,1081
1105807,926
1105808,898
1105809,1080
1105811,969
1105813,951
1105814,1096
1105815,907
1105816,922
1105817,1013
1105818,1075
1105819,1034
1105820,1011
1105821,1005
1105822,987
1105823,994
1105824,980
1105825,972
1105826,944
1105827,907
1105828,997
1105829,886
1105830,955
1105831,997
1105832,976
1105833,763
1105834,927
1105835,1058
1105836,864
1105837,965
1105838,982
1105839,929
1105840,980
1105841,0
1105842,1052
1105843,898
1105844,1006
1105845,981
1105846,968
1105847,1011
1105848,1051
1105849,0
1105850,980
1105851,821
1105852,0
1105853,918
1105854,918
1105855,931
1105856,967
1105857,888
1105858,0
1105859,1076
1105860,1043
1105861,1018
1105862,1124
1105863,1060
1105864,1067
1105901,897
1105902,912
1105903,1029
1105904,0
1105905,716
1105906,764
1105907,909
1105908,755
1105910,991
1105912,898
1105913,945
1105914,904
1105915,988
1105916,1065
1105917,1017
1105918,982
1105919,973
1105920,1005
1105921,1077
1105922,880
1105923,964
1105924,943
1105925,1005
1105926,963
1105927,836
1106001,1050
1106002,1053
1106003,991
1106004,981
1106005,908
1106006,1035
1106007,929
1106008,971
1106009,1043
1106010,1003
1106011,1035
1106012,1032
1106013,1016
1106014,1035
1106015,1023
1106016,1009
1106017,1064
1106018,999
1106019,1024
1106020,1023
1106021,0
1106101,892
1106102,919
1106103,960
1106104,1018
1106105,937
1106106,991
1106107,1023
1106108,896
1106109,865
1106110,862
1106111,863
1106112,825
1106113,0
1106114,846
1106115,1078
1106116,891
1106201,812
1106202,781
1106203,950
1106204,832
1106205,1037
1106206,941
1106207,887
1106208,978
1106209,970
1106210,892
1106211,866
1106212,1000
1106213,1038
1106214,983
1106215,1036
1106216,989
1106217,1020
1106218,1091
1106219,1052
1106220,1098
1106221,1053
1106222,979
1106223,0
1106224,0
1106225,0
1106301,0
1106302,0
1106303,901
1106304,996
1106305,1002
1106306,962
1106307,0
1106308,850
1106309,825
1106310,839
1106311,818
1106312,904
1106313,909
1106314,983
1106315,988
1106316,907
1106317,785
1106318,723
1106319,795
1106320,803
1106321,883
1106322,845
1106323,919
1106324,865
1106325,871
1106326,977
1106327,1068
1106328,958
1106329,1027
1106401,943
1106402,846
1106403,930
1106404,976
1106405,793
1106406,881
1106407,1031
1106408,1057
1106409,866
1106410,970
1106411,993
1106412,968
1106413,1027
1106414,964
1106415,909
1106416,993
1106417,1029
1106418,938
1106501,924
1106502,801
1106503,837
1106504,919
1106505,902
1106506,946
1106507,886
1106508,1014
1106509,966
1106510,1034
1106511,938
1106512,952
1106513,953
1106514,863
1106515,886
1106516,1031
1106517,1012
1106518,1069
1106519,1048
1106520,1057
1106521,1017
1106522,986
1106523,1004
1106524,960
1106525,918
1106526,956
1106527,822
1106528,876
1106529,941
1106601,885
1106602,1135
1106603,1046
1106604,877
1106605,916
1106606,905
1106607,891
1106608,902
1106609,947
1106610,1057
1106611,1033
1106612,1059
1106613,1075
1106701,964
1106702,938
1106703,956
1106704,863
1106705,1013
1106706,1028
1106707,965
1106708,919
1106709,894
1106710,997
1106711,1008
1106712,876
1106713,966
1106714,875
1106715,873
1106716,1018
1106717,980
1106718,996
1106719,855
1106720,888
1106721,926
1106722,875
1106723,902
1106724,885
1106725,966
1106726,905
1106727,794
1106728,831
1106729,883
1106801,953
1106802,818
1106803,881
1106804,895
1106805,895
1106806,1036
1106807,1026
1106808,999
1106809,1006
1106810,1071
1106811,1047
1106901,968
1106902,872
1106903,1029
1106904,998
1106905,1067
1106906,978
1106907,1060
1106908,1057
1106909,1050
1106910,1041
1106911,812
1106912,874
1106913,928
1106914,903
1106915,938
1106916,945
1106917,912
1106918,911
1106919,902
1107001,917
1107002,927
1107003,836
1107004,896
1107005,917
1107006,886
1107007,863
1107008,950
1107009,0
1107010,924
1107011,918
1107012,863
1107013,876
1107014,872
1107015,873
1107016,812
1107017,973
1107018,948
1107019,852
1107020,810
1107021,690
1107022,949
1107023,849
1107024,901
1107025,887
1107026,864
1107027,882
1107028,870
1107029,911
1107030,1068
1107031,0
1107032,849
1107101,804
1107102,833
1107103,813
1107104,862
1107105,825
1107106,863
1107107,808
1107108,871
1107109,1058
1107110,1018
1107111,986
1107112,1007
1107113,988
1107114,979
1107115,987
1107116,1001
1107117,1010
1107118,0
1107119,838
1107120,960
1107121,900
1107122,808
1107123,773
1107124,881
1107125,959
1107126,983
1107127,1069
1107128,950
1107201,907
1107202,856
1107203,868
1107204,778
1107205,998
1107206,1027
1107207,1024
1107208,982
1107209,946
1107210,931
1107211,999
1107212,1005
1107214,962
1107215,938
1107216,850
1107217,935
1107218,937
1107219,909
1107220,927
1107221,906
1107222,1076
1107224,800
1107225,949
1107226,952
1107227,986
1107228,953
1107301,0
1107302,1030
1107303,919
1107304,909
1107305,864
1107306,759
1107307,795
1107308,836
1107309,853
1107310,943
1107311,841
1107312,827
1107313,1001
1107314,1006
1107401,865
1107402,941
1107403,878
1107404,1041
1107405,918
1107406,996
1107407,983
1107408,962
1107409,846
1107410,876
1107411,989
1107412,817
1107413,883
1107414,908
1107415,836
1107416,940
1107417,906
1107418,1043
1107419,946
1107420,1012
1107421,1040
1107422,937
1107423,948
1107425,913
1107426,857
1107427,1011
1107501,0
1107601,987
1107602,1015
1107603,1017
1107604,862
1107605,910
1107606,870
1107607,872
1107608,852
1107609,856
1107610,873
1107611,888
1107612,886
1107613,873
1107614,1118
1107615,1055
1107616,1038
1107617,967
1107618,1001
1107619,963
1107620,1010
1107621,1032
1107701,1056
1107702,1045
1107703,1103
1107704,971
1107705,1067
1107706,1085
1107707,1072
1107708,1042
1107709,1024
1107710,939
1107711,1062
1107712,1094
1107713,891
1107714,918
1107715,954
1107716,977
1107717,972
1107718,948
1107719,946
1107720,1044
1107721,888
1107722,868
1107723,990
1107724,833
1107725,941
1107726,926
1107727,998
1107728,998
1107729,930
1107730,924
1107731,944
1107732,916
1107733,783
1107734,849
1107735,0
1107736,1126
1107737,1048
1107738,1004
1107739,0
1107740,930
1107741,921
1107742,936
1107743,921
1107744,969
1107745,923
1107746,927
1107747,675
1107748,818
1107749,728
1107750,668
1107751,760
1107752,840
1107753,1018
1107754,1055
1107801,976
1107802,909
1107804,961
1107805,964
1107806,1035
1107807,958
1107808,754
1107809,1040
1107810,1072
1107811,1035
1107812,976
1107813,1030
1107814,1005
1107815,876
1107816,946
1107817,939
1107818,1038
1107819,1073
1107820,1072
1107821,926
1107822,1004
1107823,1014
1107824,1002
1107825,1000
1107826,995
1107827,1025
1107828,923
1107829,898
1107830,897
1107831,1059
1107833,1041
1107834,1089
1107835,1090
1107836,932
1107837,801
1107838,941
1107839,898
1107840,1076
1107841,1014
1107842,1031
1107843,964
1107844,1073
1107845,1015
1107901,830
1107902,928
1107903,947
1107904,945
1107905,803
1107906,862
1107907,1057
1107908,1065
1107909,1018
1107910,1055
1107911,1086
1107912,1061
1107913,1080
1107914,992
1107915,1023
1107916,1069
1107917,886
1107918,895
1107919,923
1107920,856
1107921,1001
1107922,1066
1107923,950
1107924,994
1107925,981
1107926,1101
1107927,1089
1107928,1112
1107929,1105
1107930,1075
1107931,1080
1107932,1052
1107933,1024
1107934,1087
1107935,1035
1107936,1037
1108001,917
1108002,934
1108003,940
1108004,0
1108005,888
1108006,923
1108007,827
1108008,766
1108009,847
1108010,846
1108011,774
1108012,815
1108013,756
1108014,861
1108015,973
1108016,922
1108017,888
1108018,826
1108019,874
1108020,930
1108021,874
1108022,963
1108023,915
1108024,877
1108025,949
1108026,0
1108027,1029
1108028,999
1108029,957
1108030,968
1108031,1034
1108032,945
1108033,998
1108034,946
1108036,1021
1108037,911
1108038,885
1108039,894
1108040,992
1108041,896
1108042,900
1108043,879
1108044,886
1108046,859
1108047,775
1108048,842
1108049,846
1108050,877
1108051,0
1108052,791
1108053,884
1108054,931
1108055,851
1108101,828
1108102,865
1108103,953
1108104,979
1108105,970
1108106,944
1108107,991
1108108,917
1108109,889
1108110,760
1108111,0
1108112,919
1108113,925
1108114,871
1108115,964
1108116,933
1108117,897
1108118,952
1108119,905
1108120,896
1108121,899
1108122,815
1108123,917
1108124,914
1108125,1031
1108126,937
1108127,958
