SA1_CODE21,mean
1103622,0.323943662
1103701,0.506134969
1103702,0.468253968
1103703,0.505747126
1103704,0.221374046
1103705,0.358974359
1103706,0.441176471
1103707,0.425
1103708,0.402877698
1103709,0.337950139
1103710,0.292682927
1103711,0.513333333
1103712,0.319526627
1103713,0.453900709
1103714,0.400862069
1103801,0.338842975
1103802,0.352941176
1103803,0.487804878
1103804,0.502242152
1103805,0.218309859
1103806,0.560344828
1103807,0.471962617
1103808,1.521505376
1103809,0.29787234
1103810,0.289473684
1103811,0.229166667
1103812,0.395721925
1103813,0.245967742
1103814,0.501901141
1103815,0.471590909
1103816,0.186046512
1103817,0.382978723
1103901,0.198412698
1103902,0.357142857
1103903,0.344594595
1103904,0.395017794
1103905,0.385650224
1103906,0.337606838
1103908,0.17578125
1103909,0.32748538
1103911,0.271641791
1103912,0.371134021
1103913,0.260606061
1103914,0.308108108
1103915,0.202290076
1103916,0.466666667
1103917,0.265895954
1103918,0.32967033
1103919,0.741116751
1103920,0.384196185
1103921,0.306358382
1103922,0.355932203
1103923,0.302857143
1103924,1.705263158
1103925,0.382608696
1103926,0.259668508
1103927,0.161825726
1103928,0.256521739
1103929,0.244343891
1103930,0.276315789
1103931,0.345360825
1104001,0.475524476
1104002,0.965517241
1104003,0.184713376
1104004,0.518181818
1104005,0.6875
1104006,0.559259259
1104007,0.782051282
1104008,1
1104009,0.836363636
1104010,1.077844311
1104011,0.777777778
1104012,0.376712329
1104013,0.463035019
1104014,0.869186047
1104015,0.849557522
1104016,0.683923706
1104017,0.817843866
1104018,0.365853659
1104019,0.282926829
1104020,0.392670157
1104021,0.442708333
1104022,0.495575221
1104023,0.632478632
1104024,0.524305556
1104025,0.432
1104026,0.648208469
1104027,0.607692308
1104028,0.532544379
1104029,0.963302752
1104030,0.576687117
1104031,0.285714286
1104032,0.776699029
1104033,0.505747126
1104034,0.445833333
1104035,0.393333333
1104036,0.529761905
1104037,0.526666667
1104038,0.362318841
1104039,0.429657795
1104040,0.534090909
1104041,0.904761905
1104042,0.343434343
1104043,0.62
1104044,0.746666667
1104045,0.42364532
1104046,0.591623037
1104047,0.391111111
1104048,0.304347826
1104049,0.202380952
1104050,0.503267974
1104051,0.355855856
1104052,0.295698925
1104053,0.638392857
1104054,0.279187817
1104055,0.301075269
1104056,0.305555556
1104057,0.400593472
1104058,0.478571429
1104101,0.468085106
1104102,0.328220859
1104103,0.144104803
1104104,0.262135922
1104105,0.182320442
1104106,0.293269231
1104107,0.279411765
1104108,0
1104109,0.297674419
1104110,0.234567901
1104111,0.256410256
1104112,0.220883534
1104113,0.352631579
1104114,0.212418301
1104115,0.395833333
1104116,0.275229358
1104117,0.38
1104118,0
1104119,0.244813278
1104120,0.210762332
1104121,0.875722543
1104122,0.327160494
1104123,0.226244344
1104124,0.343096234
1104125,0.22265625
1104201,0.520361991
1104202,0.533333333
1104203,0.456896552
1104204,0.768472906
1104205,0.88034188
1104206,0
1104207,0.237785016
1104208,0.951417004
1104209,0.699186992
1104210,0.152892562
1104211,0.377593361
1104212,0
1104213,0.619863014
1104214,0.521472393
1104215,0.542682927
1104216,0.418181818
1104217,0.56744186
1104218,0.322916667
1104219,0.494047619
1104220,0.64
1104221,0.456066946
1104222,0.38247012
1104223,1.060869565
1104224,0.467980296
1104225,0.274336283
1104226,0.422110553
1104227,0.43452381
1104228,0.43575419
1104229,0.474358974
1104230,0.526595745
1104231,1.055555556
1104232,0.929347826
1104233,0.661710037
1104301,0.358974359
1104302,0.327272727
1104303,0.268518519
1104304,0.228723404
1104305,0.2
1104306,0
1104307,0.217054264
1104308,0.405594406
1104309,0.320224719
1104310,0.236363636
1104311,0.154867257
1104312,1.58
1104313,0.293650794
1104314,1.987804878
1104315,0.347593583
1104316,0.340277778
1104317,0.388888889
1104318,0.418079096
1104319,0.246153846
